48	2	38	1	5	3	1
36	2	28	1	6	3	2
48	1	48	1	8	3	1
47	2	38	1	5	3	1
41	1	57	1	12	2	1
48	2	38	1	7	3	1
44	1	43	1	7	1	3
43	1	48	1	12	3	3
44	1	46	1	12	3	3
43	2	34	1	11	3	1
44	2	32	1	5	3	1
47	2	31	1	6	3	2
48	2	36	1	5	3	4
49	1	48	1	17	3	1
36	2	45	1	18	3	1
48	1	36	1	12	3	3
38	1	47	1	20	3	4
49	2	32	1	5	3	1
47	2	36	1	8	3	1
48	2	38	1	8	3	1
49	1	54	1	36	3	3
45	2	42	1	12	3	4
46	2	42	1	8	3	2
45	1	48	1	12	1	3
45	1	46	1	12	1	3
44	1	29	2	6	1	3
36	1	51	2	16	1	5
32	2	42	2	6	3	4
33	1	59	2	16	1	3
38	1	48	2	11	3	4
39	2	42	2	12	2	1
46	2	47	2	17	3	4
42	2	46	2	18	3	2
34	2	42	2	12	3	6
31	2	62	2	34	3	1
36	2	42	2	4	1	4
45	2	45	2	5	3	4
49	2	45	2	3	3	1
46	2	38	2	5	1	3
47	1	39	2	3	1	3
38	1	68	2	8	3	4
43	2	35	2	7	3	4
42	2	36	2	7	3	4
40	2	30	2	8	3	1
42	1	53	2	16	3	1
45	1	35	2	6	3	2
46	1	36	2	5	3	3
40	1	41	2	12	3	3
37	2	54	2	27	1	3
37	2	43	2	6	3	1
48	2	36	2	17	3	1
45	2	44	2	12	2	2
49	2	52	2	19	3	1
44	1	52	2	8	3	2
41	1	62	2	10	1	4
41	1	61	2	15	2	1
48	2	36	2	12	3	4
38	2	49	2	16	2	3
46	1	47	2	23	3	2
45	2	31	2	9	3	1
46	2	47	2	15	3	6
43	1	48	2	13	2	6
49	1	46	2	20	3	4
39	1	48	2	12	1	5
37	2	42	2	8	3	2
40	1	52	2	8	1	4
40	1	48	2	8	3	2
36	1	46	2	6	3	4
39	1	43	2	12	3	4
41	2	43	2	12	3	1
